timestamp,hour,day_of_week,month,is_weekend,temperature,humidity,square_footage,occupancy_rate,energy_consumption_residential,energy_consumption_commercial,energy_consumption_industrial
2024-01-01 00:00:00,0,0,1,0,5.993428306022466,64.8570617883618,2069,0.0,7.813845593890524,34.98269179323865,108.03896396621398
2024-01-01 01:00:00,1,0,1,0,4.89384226621229,53.182965159555074,3124,0.0,7.624967779566739,41.498739214227065,92.21802575110377
2024-01-01 02:00:00,2,0,1,0,6.965250057279192,52.72248820396919,3776,0.0,8.723970637646916,47.47305883719345,101.14053072477665
2024-01-01 03:00:00,3,0,1,0,9.510525806883313,59.965616902211146,2192,0.0,9.6980544335779,41.794240583146944,105.91115846611292
2024-01-01 04:00:00,4,0,1,0,7.031693250553328,54.67831176310417,1813,0.0,8.387804500054639,40.78476188242208,98.03751183411944
2024-01-01 05:00:00,5,0,1,0,8.237630860589036,50.31233153125638,2152,0.0,9.053681949736053,39.84366719238254,96.25031798708707
2024-01-01 06:00:00,6,0,1,0,13.158425631014783,55.07813941997235,2736,0.1,12.874957936711908,55.40523966685369,107.90325511741808
2024-01-01 07:00:00,7,0,1,0,12.82896468381842,48.349106459419346,3755,0.20442095377604128,13.698690854836359,65.06402381470166,110.85297140297985
2024-01-01 08:00:00,8,0,1,0,11.561051228130095,45.26228693444722,2883,0.30705523608201657,13.451590676246626,62.42976668324297,98.08084954823254
2024-01-01 09:00:00,9,0,1,0,14.620653993104668,46.82807539190977,1267,0.4061467458920719,16.364376443208226,65.11718666268342,108.7098743811069
2024-01-01 10:00:00,10,0,1,0,13.403291633297266,39.46420098743779,4671,0.5,16.171292373649322,84.43138336835199,109.39637776686543
2024-01-01 11:00:00,11,0,1,0,13.898169624304828,48.18333666447209,3812,0.5870091432069765,18.076354119678985,87.56546899376745,102.9478125438703
2024-01-01 12:00:00,12,0,1,0,15.48392454313207,36.05976188383496,2773,0.665685424949238,19.166045412894622,88.05649898663587,105.28078564248464
2024-01-01 13:00:00,13,0,1,0,11.003068642129744,43.625387068819755,1584,0.7346826722329881,18.208247107719387,72.81636849975149,110.08923506191411
2024-01-01 14:00:00,14,0,1,0,10.88029135389613,48.50891015545484,3466,0.7928203230275509,18.248134314210084,86.9513778125635,115.93517768116023
